[0.001, 1e-06, 'ResNet50', '999', '0.004774632824801387', '0.15370552895816741'],
[0.001, 1e-06, 'ResNet50', '14999', '0.5667017285380356', '0.5351921652152364'],
[0.001, 1e-06, 'ResNet50', '13999', '0.6380789886026644', '0.5734923582396835'],
[0.001, 1e-06, 'ResNet50', '12999', '0.5834394790658909', '0.5773691289682373'],
[0.001, 1e-06, 'ResNet50', '11999', '0.5683478130303613', '0.5255022890348899'],
[0.001, 1e-06, 'ResNet50', '10999', '0.630783603949105', '0.5558178132609479'],
[0.001, 1e-06, 'ResNet50', '9999', '0.6247883122327309', '0.5622072363181689'],
[0.001, 1e-06, 'ResNet50', '8999', '0.5610260668112627', '0.5225948340322574'],
[0.001, 1e-06, 'ResNet50', '7999', '0.5858753506647453', '0.5533449096390898'],
[0.001, 1e-06, 'ResNet50', '6999', '0.6132046670268605', '0.6080993034864649'],
[0.001, 1e-06, 'ResNet50', '5999', '0.6113320555868649', '0.54460581543533'],
[0.001, 1e-06, 'ResNet50', '4999', '0.548108777431147', '0.5601954420203463'],
[0.001, 1e-06, 'ResNet50', '3999', '0.48181698747444573', '0.5050263580837866'],
[0.001, 1e-06, 'ResNet50', '2999', '0.4111159926898216', '0.47616435335735935'],
[0.001, 1e-06, 'ResNet50', '1999', '0.2557864505583918', '0.3871171834251002'],
[0.01, 1e-06, 'ResNet50', '999', '0.015847706863037693', '0.041889619006254306'],
[0.01, 1e-06, 'ResNet50', '14999', '0.7416208224859864', '0.6552371598010559'],
[0.01, 1e-06, 'ResNet50', '13999', '0.6886797213608349', '0.6047918093219897'],
[0.01, 1e-06, 'ResNet50', '12999', '0.8192495140529601', '0.6490625260412133'],
[0.01, 1e-06, 'ResNet50', '11999', '0.7574005589089685', '0.6297522507239631'],
[0.01, 1e-06, 'ResNet50', '10999', '0.7938934562456083', '0.6638310911227485'],
[0.01, 1e-06, 'ResNet50', '9999', '0.7229944665420532', '0.6677221475774278'],
[0.01, 1e-06, 'ResNet50', '8999', '0.7292331557663323', '0.6478068885557937'],
[0.01, 1e-06, 'ResNet50', '7999', '0.7787562759713496', '0.6615893182186934'],
[0.01, 1e-06, 'ResNet50', '6999', '0.6552749901032913', '0.5994646317592556'],
[0.01, 1e-06, 'ResNet50', '5999', '0.7563507100842057', '0.6324620385779116'],
[0.01, 1e-06, 'ResNet50', '4999', '0.6625697807347561', '0.5845586549691587'],
[0.01, 1e-06, 'ResNet50', '3999', '0.41940884004248186', '0.5856375997033971'],
[0.01, 1e-06, 'ResNet50', '2999', '0.5044943085190383', '0.5283644931800631'],
[0.01, 1e-06, 'ResNet50', '1999', '0.16627904949720596', '0.47684515550915485'],
[0.0001, 1e-06, 'ResNet50', '999', '0.0017320096357342559', '0.0029746145993666834'],
[0.0001, 1e-06, 'ResNet50', '14999', '0.382772737021318', '0.3926713007093033'],
[0.0001, 1e-06, 'ResNet50', '13999', '0.399131000352421', '0.4333641010140109'],
[0.0001, 1e-06, 'ResNet50', '12999', '0.3612816121625574', '0.39610793000802014'],
[0.0001, 1e-06, 'ResNet50', '11999', '0.3717828614092471', '0.4157564565622883'],
[0.0001, 1e-06, 'ResNet50', '10999', '0.36505210322139414', '0.42030727360259174'],
[0.0001, 1e-06, 'ResNet50', '9999', '0.2979826793750629', '0.3328811151977159'],
[0.0001, 1e-06, 'ResNet50', '8999', '0.197822535898538', '0.3321546797939132'],
[0.0001, 1e-06, 'ResNet50', '7999', '0.20064871789517014', '0.2711865963794025'],
[0.0001, 1e-06, 'ResNet50', '6999', '0.13953733595741463', '0.25010671639808557'],
[0.0001, 1e-06, 'ResNet50', '5999', '0.09157832651380451', '0.20717389629904007'],
