[[1e-05, 0.01, 'ResNet50', '999', '0.0', '0.0'],
[1e-05, 1e-05, 'ResNet50', '9999', '0.0034761181839811973', '0.020026923558215382'],
[1e-05, 1e-05, 'ResNet50', '8999', '0.003965957678087319', '0.030153192407446922'],
[0.001, 1e-06, 'ResNet50', '999', '0.0030165643177611523', '0.0047255101567601175'],
[0.001, 1e-06, 'ResNet50', '14999', '0.6210684496833331', '0.578484316767442'],
[0.001, 1e-06, 'ResNet50', '13999', '0.5973778949771689', '0.5749814993770658'],
[0.001, 1e-06, 'ResNet50', '12999', '0.6326644232804535', '0.5905885129329954'],
[1e-05, 1e-05, 'ResNet50', '7999', '0.004691242506511602', '0.06412335740067623'],
[0.001, 1e-06, 'ResNet50', '11999', '0.660606208012946', '0.615111226717965'],
[0.001, 1e-06, 'ResNet50', '10999', '0.6451919374650985', '0.5780654118059224'],
[0.001, 1e-06, 'ResNet50', '9999', '0.5974761706024012', '0.6061126706555436'],
[0.001, 1e-06, 'ResNet50', '8999', '0.6438621325477075', '0.5691160612548134'],
[0.01, 1e-06, 'ResNet50', '999', '0.06563213507958474', '0.12173721754977404'],
[1e-05, 1e-05, 'ResNet50', '6999', '0.005807184833892636', '0.09466663452881408'],
[0.001, 1e-06, 'ResNet50', '7999', '0.6003193505260231', '0.5944371520178661'],
[0.001, 1e-06, 'ResNet50', '6999', '0.5982569300730433', '0.5344847945405043'],
[0.01, 1e-06, 'ResNet50', '14999', '0.8193381229451798', '0.6747746630375049'],
[0.01, 1e-06, 'ResNet50', '13999', '0.8093258234852406', '0.6330935116985881'],
[0.001, 1e-06, 'ResNet50', '5999', '0.5277633791631091', '0.5951083208856718'],
[0.01, 1e-06, 'ResNet50', '12999', '0.7921770690588434', '0.6164570284972419'],
[0.001, 1e-06, 'ResNet50', '4999', '0.5083424435046024', '0.5677752161632791'],
[1e-05, 1e-05, 'ResNet50', '5999', '0.004217071863718265', '0.06557835692976632'],
[0.01, 1e-06, 'ResNet50', '11999', '0.77093650058516', '0.6017602178825219'],
[0.001, 1e-06, 'ResNet50', '3999', '0.40724807724942275', '0.5146044896949037'],
[0.01, 1e-06, 'ResNet50', '10999', '0.7281324313333722', '0.5667920357255134'],
[0.001, 1e-06, 'ResNet50', '2999', '0.40811217598244565', '0.5152253644562158'],
[0.01, 1e-06, 'ResNet50', '9999', '0.770324494690103', '0.6213849666711053'],
[0.01, 1e-06, 'ResNet50', '8999', '0.7735085858481666', '0.6273803453600628'],
[0.001, 1e-06, 'ResNet50', '1999', '0.2912753433270298', '0.38843443272726513'],
[0.01, 1e-06, 'ResNet50', '7999', '0.6460978527506909', '0.5567174707275905'],
[1e-05, 1e-05, 'ResNet50', '4999', '0.0014943413374304223', '0.009573527130237677'],
[0.01, 1e-06, 'ResNet50', '6999', '0.7315562094324103', '0.6056530803600253'],
[0.01, 1e-06, 'ResNet50', '5999', '0.7206942716225747', '0.6214090855019714'],
[0.01, 1e-06, 'ResNet50', '4999', '0.6435753960820076', '0.627297447087175'],
[1e-05, 1e-05, 'ResNet50', '3999', '0.0007627089271092732', '0.002611377439076145'],
[0.01, 1e-06, 'ResNet50', '3999', '0.427892671079715', '0.5384625935103127'],
[0.01, 1e-06, 'ResNet50', '2999', '0.5570247409693375', '0.4792124213261585'],
[1e-05, 1e-05, 'ResNet50', '2999', '0.0006131602615073295', '0.0019996314651226357'],
[0.01, 1e-06, 'ResNet50', '1999', '0.2138861827310746', '0.4226176738136485'],
[1e-05, 1e-05, 'ResNet50', '1999', '0.0005625966996268396', '0.0045637586345844815'],
[0.0001, 1e-06, 'ResNet50', '999', '0.004873281994879368', '0.01434422985646748'],
[0.0001, 1e-06, 'ResNet50', '14999', '0.33884705191001896', '0.4532593673514179'],
[0.0001, 1e-06, 'ResNet50', '13999', '0.33482225169166013', '0.36971914772126535'],
[0.0001, 1e-06, 'ResNet50', '12999', '0.343320344821624', '0.37304181903370237'],
[0.0001, 1e-06, 'ResNet50', '11999', '0.33404605581245994', '0.37516598911110766'],
[0.0001, 1e-06, 'ResNet50', '10999', '0.3165630534198901', '0.352823559387964'],
[0.0001, 1e-06, 'ResNet50', '9999', '0.3319311603874438', '0.3802242972169626'],
[0.0001, 1e-06, 'ResNet50', '8999', '0.26984642795522384', '0.3630369000148545'],
[0.0001, 1e-06, 'ResNet50', '7999', '0.2501095389506148', '0.37532403444147655'],
[0.0001, 1e-06, 'ResNet50', '6999', '0.22426245221427635', '0.29259792581807426'],
[0.0001, 1e-06, 'ResNet50', '5999', '0.12277478186510524', '0.26892428691358367'],
[0.0001, 1e-06, 'ResNet50', '4999', '0.026090823230265688', '0.24320856054763587'],
[0.0001, 1e-06, 'ResNet50', '3999', '0.004252559206951358', '0.20449139554734064'],
[0.0001, 1e-06, 'ResNet50', '2999', '0.0023228832054092785', '0.17535632535987628'],
[0.0001, 1e-06, 'ResNet50', '1999', '0.002501335669501157', '0.06834346713271382'],
[1e-05, 1e-06, 'ResNet50', '999', '0.003166102784722778', '0.012468387579340726'],
[1e-05, 1e-06, 'ResNet50', '14999', '0.010430863901209416', '0.10650449753982208'],
[1e-05, 1e-06, 'ResNet50', '13999', '0.008946708279476787', '0.11222503593051496'],
[1e-05, 1e-06, 'ResNet50', '12999', '0.00813130067831173', '0.08153499463636123'],
[1e-05, 1e-06, 'ResNet50', '11999', '0.008715748662308526', '0.09219155874025547'],
[1e-05, 1e-06, 'ResNet50', '10999', '0.008136273936382832', '0.06848338009660934'],
[1e-05, 1e-06, 'ResNet50', '9999', '0.009223217103304957', '0.05999239464161839'],
[1e-05, 1e-06, 'ResNet50', '8999', '0.01103900397810773', '0.06543840036197164'],
[1e-05, 1e-06, 'ResNet50', '7999', '0.010587802285929846', '0.053762589983584054'],
[1e-05, 1e-06, 'ResNet50', '6999', '0.009733551224250599', '0.05710004113886767'],
[1e-05, 1e-06, 'ResNet50', '5999', '0.005395137408878943', '0.028768971365878866'],
[1e-05, 1e-06, 'ResNet50', '4999', '0.0025615589116799544', '0.023324987543372307'],
[1e-05, 1e-06, 'ResNet50', '3999', '0.001351696868842215', '0.006688807489974366'],
[1e-05, 1e-06, 'ResNet50', '2999', '0.0010850976539053005', '0.03970804562871643'],
[1e-05, 1e-06, 'ResNet50', '1999', '0.0012332073033141237', '0.0033187791066260006']]
