[0.02, 5e-06, 'ResNet50', '13999', '0.7836204780466972', '0.600667471660073'],
[0.02, 5e-06, 'ResNet50', '12999', '0.7006507766409309', '0.6164904822827815'],
[0.007, 5e-06, 'ResNet50', '14999', '0.7044918926378585', '0.5812623598633231'],
[0.02, 5e-06, 'ResNet50', '11999', '0.57257455474308', '0.6489904290361777'],
[0.02, 5e-06, 'ResNet50', '10999', '0.680170170224078', '0.5717288240154459'],
[0.007, 5e-06, 'ResNet50', '13999', '0.6718403867955427', '0.5893235278619331'],
[0.02, 5e-06, 'ResNet50', '9999', '0.6730945262769803', '0.6074861089742438'],
[0.003, 5e-06, 'ResNet50', '999', '0.18147415249363352', '0.4579185917633158'],
[0.007, 5e-06, 'ResNet50', '12999', '0.726244425303132', '0.6020949193207008'],
[0.02, 5e-06, 'ResNet50', '8999', '0.624136683431497', '0.6132335915453742'],
[0.02, 5e-06, 'ResNet50', '7999', '0.7575961427398609', '0.6296041126139376'],
[0.003, 5e-06, 'ResNet50', '14999', '0.6975258858881977', '0.6223011006076584'],
[0.007, 5e-06, 'ResNet50', '11999', '0.6367045718649696', '0.608516415103691'],
[0.02, 5e-06, 'ResNet50', '6999', '0.4905892804992821', '0.5587129891296734'],
[0.003, 5e-06, 'ResNet50', '13999', '0.7075867573466617', '0.5943561341661324'],
[0.02, 5e-06, 'ResNet50', '5999', '0.45219652256562337', '0.5109294725975955'],
[0.005, 5e-06, 'ResNet50', '999', '0.23883197613864135', '0.4642032917852565'],
[0.007, 5e-06, 'ResNet50', '10999', '0.67290004226011', '0.6051498718602'],
[0.003, 5e-06, 'ResNet50', '12999', '0.6850089676038479', '0.6115417012574087'],
[0.02, 5e-06, 'ResNet50', '4999', '0.16071675247080436', '0.6098004531800255'],
[0.003, 5e-06, 'ResNet50', '11999', '0.6821824844100475', '0.603090121297274'],
[0.007, 5e-06, 'ResNet50', '9999', '0.7719809687993366', '0.6242854967882197'],
[0.005, 5e-06, 'ResNet50', '14999', '0.6944575319985198', '0.6104325420604033'],
[0.02, 5e-06, 'ResNet50', '3999', '0.270891355823832', '0.438380954018682'],
[0.003, 5e-06, 'ResNet50', '10999', '0.6644489105466057', '0.629148128452209'],
[0.005, 5e-06, 'ResNet50', '13999', '0.7070847550637636', '0.588308629598912'],
[0.007, 5e-06, 'ResNet50', '8999', '0.7169108528884724', '0.6159784571994967'],
[0.003, 5e-06, 'ResNet50', '9999', '0.6718119825804084', '0.5737978926030854'],
[0.02, 5e-06, 'ResNet50', '2999', '0.26153854689587286', '0.4973764072198487'],
[0.005, 5e-06, 'ResNet50', '12999', '0.7176391515854144', '0.5656728308329854'],
[0.003, 5e-06, 'ResNet50', '8999', '0.6683427427747654', '0.5972390862829982'],
[0.007, 5e-06, 'ResNet50', '7999', '0.7312317979005124', '0.6134563140634111'],
[0.005, 5e-06, 'ResNet50', '11999', '0.7493163617757786', '0.6100981547970761'],
[0.003, 5e-06, 'ResNet50', '7999', '0.6909486067972657', '0.5941453469670123'],
[0.02, 5e-06, 'ResNet50', '1999', '0.015122140657902522', '0.28776008838155837'],
[0.005, 5e-06, 'ResNet50', '10999', '0.69735976273831', '0.6032297799014781'],
[0.007, 5e-06, 'ResNet50', '6999', '0.7060962805365353', '0.6000657176970914'],
[0.003, 5e-06, 'ResNet50', '6999', '0.6877105050294411', '0.5666525368547427'],
[0.005, 5e-06, 'ResNet50', '9999', '0.6641837676470883', '0.6100054459550034'],
[0.003, 5e-06, 'ResNet50', '5999', '0.7289900096213836', '0.6110260248917403'],
[0.007, 5e-06, 'ResNet50', '5999', '0.612246989966546', '0.5722916245761944'],
[0.005, 5e-06, 'ResNet50', '8999', '0.7193237382563624', '0.5906021299442075'],
[0.003, 5e-06, 'ResNet50', '4999', '0.572621047877165', '0.5957908224783879'],
[0.005, 5e-06, 'ResNet50', '7999', '0.7350276667472264', '0.6677945819971989'],
[0.007, 5e-06, 'ResNet50', '4999', '0.598212364991243', '0.5625861876702855'],
[0.003, 5e-06, 'ResNet50', '3999', '0.585529540200962', '0.6216181071758071'],
[0.005, 5e-06, 'ResNet50', '6999', '0.7275345000032953', '0.6290101094351963'],
[0.007, 5e-06, 'ResNet50', '3999', '0.6587620575156361', '0.5977191837514612'],
[0.003, 5e-06, 'ResNet50', '2999', '0.6243719167079316', '0.5875227015729619'],
[0.005, 5e-06, 'ResNet50', '5999', '0.6174942413389942', '0.5918566279417182'],
[0.007, 5e-06, 'ResNet50', '2999', '0.3798857399909995', '0.42794366333918044'],
[0.003, 5e-06, 'ResNet50', '1999', '0.339878189740324', '0.48858664168218713'],
[0.005, 5e-06, 'ResNet50', '4999', '0.5664710193206309', '0.5615412045136979'],
[0.005, 5e-06, 'ResNet50', '3999', '0.5528321492305416', '0.5353540166949261'],
[0.007, 5e-06, 'ResNet50', '1999', '0.33426469874468345', '0.5177666886321767'],
[0.005, 5e-06, 'ResNet50', '2999', '0.39342135266276046', '0.558812287231255'],
[0.005, 5e-06, 'ResNet50', '1999', '0.43906746513532324', '0.42931660667072624'],
[0.009, 5e-06, 'ResNet50', '999', '0.06089474514275571', '0.3371780855653147'],
[0.009, 5e-06, 'ResNet50', '14999', '0.7689387884681581', '0.6366895605838192'],
[0.009, 5e-06, 'ResNet50', '13999', '0.6976835962704583', '0.6025036063989111'],
[0.009, 5e-06, 'ResNet50', '12999', '0.7735708673977617', '0.6029254409626084'],
[0.009, 5e-06, 'ResNet50', '11999', '0.7237894525293777', '0.598523011988287'],
[0.009, 5e-06, 'ResNet50', '10999', '0.6201179033283764', '0.5960288129852531'],
[0.009, 5e-06, 'ResNet50', '9999', '0.6752000153016743', '0.6952484742422156'],
[0.009, 5e-06, 'ResNet50', '8999', '0.7688529978264007', '0.6326612992995081'],
[0.009, 5e-06, 'ResNet50', '7999', '0.8132078325022267', '0.6475440704793604'],
[0.009, 5e-06, 'ResNet50', '6999', '0.6410082801152492', '0.6436406124366206'],
[0.009, 5e-06, 'ResNet50', '5999', '0.7293616744957891', '0.6376891955044892'],
[0.009, 5e-06, 'ResNet50', '4999', '0.6473444747816025', '0.6829823263011189'],
