[0.003, 5e-06, 'ResNet50', '8999', '0.751174035536849', '0.638671623721261'],
[0.005, 5e-06, 'ResNet50', '8999', '0.699376230661925', '0.5952813894488375'],
[0.003, 5e-06, 'ResNet50', '7999', '0.6722754145277232', '0.5896074895523389'],
[0.02, 3e-06, 'ResNet50', '3999', '0.3592256376150883', '0.5329124153252647'],
[0.005, 5e-06, 'ResNet50', '7999', '0.7502563695798093', '0.6048726429523811'],
[0.003, 5e-06, 'ResNet50', '6999', '0.6595304003944987', '0.582966439383035'],
[0.005, 5e-06, 'ResNet50', '6999', '0.75504852998005', '0.6336812565681404'],
[0.003, 5e-06, 'ResNet50', '5999', '0.6216882452787711', '0.5809373609272404'],
[0.02, 3e-06, 'ResNet50', '2999', '0.0724506767135479', '0.3434753860035158'],
[0.005, 5e-06, 'ResNet50', '5999', '0.59042016237681', '0.6275367114158689'],
[0.003, 5e-06, 'ResNet50', '4999', '0.47728354140099755', '0.5191105057544558'],
[0.005, 5e-06, 'ResNet50', '4999', '0.6319011093368361', '0.6535317017104761'],
[0.003, 5e-06, 'ResNet50', '3999', '0.5706634436918128', '0.6021263394436881'],
[0.02, 3e-06, 'ResNet50', '1999', '0.02746146117269128', '0.19666326869299083'],
[0.005, 5e-06, 'ResNet50', '3999', '0.6653814391588965', '0.6203579532534639'],
[0.003, 5e-06, 'ResNet50', '2999', '0.4897027280632507', '0.4892239725528462'],
[0.005, 5e-06, 'ResNet50', '2999', '0.49218247498776735', '0.5729243745448958'],
[0.003, 5e-06, 'ResNet50', '1999', '0.39308712608053986', '0.37908276537201785'],
[0.005, 5e-06, 'ResNet50', '1999', '0.24559658189539396', '0.4155446216348125'],
[0.007, 5e-06, 'ResNet50', '999', '0.04364910810559709', '0.1272535903108959'],
[0.007, 5e-06, 'ResNet50', '14999', '0.7570497570793028', '0.6593216006483393'],
[0.007, 5e-06, 'ResNet50', '13999', '0.7405641694690923', '0.6308453803591031'],
[0.007, 5e-06, 'ResNet50', '12999', '0.7510620697958876', '0.606558936923095'],
[0.007, 5e-06, 'ResNet50', '11999', '0.7855840038242758', '0.654508037540386'],
[0.007, 5e-06, 'ResNet50', '10999', '0.7450764775340374', '0.6336140283610672'],
[0.007, 5e-06, 'ResNet50', '9999', '0.7436829689289122', '0.6388812453244987'],
[0.007, 5e-06, 'ResNet50', '8999', '0.7124386467431079', '0.5660176015974907'],
[0.007, 5e-06, 'ResNet50', '7999', '0.7046302167040684', '0.6396539809207847'],
[0.007, 5e-06, 'ResNet50', '6999', '0.670822781527339', '0.5831550484442328'],
[0.007, 5e-06, 'ResNet50', '5999', '0.7286438654809195', '0.6351474390151692'],
[0.007, 5e-06, 'ResNet50', '4999', '0.6308514664541465', '0.5852679616390187'],
[0.007, 5e-06, 'ResNet50', '3999', '0.4523336547125142', '0.5509750943562909'],
[0.007, 5e-06, 'ResNet50', '2999', '0.3742972831502841', '0.529683921861022'],
[0.007, 5e-06, 'ResNet50', '1999', '0.45436186149487706', '0.4328775129860284'],
[0.009, 5e-06, 'ResNet50', '999', '0.12615011110588906', '0.5041308946087024'],
[0.009, 5e-06, 'ResNet50', '14999', '0.7160182671591577', '0.633347387880001'],
[0.009, 5e-06, 'ResNet50', '13999', '0.7061337599535007', '0.5917696348752681'],
[0.009, 5e-06, 'ResNet50', '12999', '0.7376035208803892', '0.6116331644956967'],
[0.009, 5e-06, 'ResNet50', '11999', '0.7245288233321998', '0.6409135240783465'],
[0.009, 5e-06, 'ResNet50', '10999', '0.7656268943077634', '0.6414194375847868'],
[0.009, 5e-06, 'ResNet50', '9999', '0.7209829771594085', '0.5948523976598644'],
[0.009, 5e-06, 'ResNet50', '8999', '0.7248139091446678', '0.6172445668502966'],
[0.009, 5e-06, 'ResNet50', '7999', '0.7432146989479425', '0.5504355821394824'],
[0.009, 5e-06, 'ResNet50', '6999', '0.7194504783933707', '0.6012832368479966'],
[0.009, 5e-06, 'ResNet50', '5999', '0.777353525493847', '0.6507549553618583'],
[0.009, 5e-06, 'ResNet50', '4999', '0.685764099634202', '0.6130821991819074'],
[0.009, 5e-06, 'ResNet50', '3999', '0.49155123084982677', '0.5901127425600887'],
[0.009, 5e-06, 'ResNet50', '2999', '0.4555404686121626', '0.5192957003772832'],
[0.009, 5e-06, 'ResNet50', '1999', '0.31448179347504535', '0.47989882321345145'],
